city,lat,lon,temp,humidity,clouds,windspeed,temp_max
talcahuano,-36.72,-73.12,20.0,45,0,8.2,20.0
jamestown,42.1,-79.24,12.8,26,1,2.6,15.56
clyde river,70.47,-68.59,-10.0,72,20,15.9,-10.0
goldsboro,35.38,-77.99,27.25,37,20,3.6,28.89
owo,7.2,5.59,25.66,79,100,2.81,25.66
vaini,-21.2,-175.2,26.0,74,75,3.6,26.0
mar del plata,-38.0,-57.56,14.85,51,40,6.7,15.0
tuktoyaktuk,69.45,-133.04,-4.0,85,90,9.3,-4.0
rikitea,-23.12,-134.97,24.51,63,62,2.33,24.51
ayan,56.45,138.17,-6.94,89,21,3.6,-6.94
khatanga,71.97,102.5,-3.46,96,100,2.05,-3.46
meulaboh,4.14,96.13,24.69,86,93,1.67,24.69
punta arenas,-53.15,-70.92,12.62,58,100,8.7,13.0
codrington,-38.27,141.97,11.41,71,100,2.48,11.41
barrow,71.29,-156.79,-13.0,78,90,7.2,-13.0
mount gambier,-37.83,140.77,10.0,93,90,0.86,10.0
hilo,19.73,-155.09,24.07,65,75,2.1,27.0
ribeira grande,38.52,-28.7,18.0,88,75,6.2,18.0
bredasdorp,-34.53,20.04,13.15,54,15,5.7,13.33
albany,42.6,-73.97,14.3,19,20,5.7,17.22
gorzow wielkopolski,52.74,15.23,13.85,31,0,0.89,14.44
bud,39.45,-86.18,19.7,59,1,3.1,21.67
saint-philippe,-21.36,55.77,19.96,73,5,3.6,24.0
auki,-8.77,160.7,27.8,79,100,2.67,27.8
benidorm,38.54,-0.13,14.21,82,40,1.5,15.56
russell,32.35,-85.2,28.5,39,1,2.57,29.44
moreira sales,-24.06,-53.01,20.32,82,99,6.63,20.32
jibuti,11.5,42.5,28.0,74,75,2.1,28.0
victoria,22.29,114.16,17.39,82,40,4.6,18.0
lakes entrance,-37.88,147.98,6.67,90,16,4.09,6.67
qaanaaq,77.48,-69.36,-12.89,75,0,1.06,-12.89
kharian,32.81,73.86,21.14,46,100,2.98,21.14
kaitangata,-46.28,169.85,13.89,92,87,3.08,13.89
bengkulu,-3.8,102.27,24.92,83,100,2.7,24.92
lazaro cardenas,17.96,-102.2,29.4,53,0,4.03,29.4
busselton,-33.65,115.33,17.15,39,0,7.35,18.33
puerto ayora,-0.74,-90.35,29.3,70,20,5.1,30.0
port elizabeth,-33.92,25.57,14.0,76,76,8.2,14.0
yingkou,40.66,122.23,5.51,61,3,4.83,5.51
henties bay,-22.12,14.28,16.11,91,0,0.89,16.11
rumford,44.55,-70.55,11.9,18,1,3.1,13.89
yarada,17.65,83.27,27.44,80,3,4.21,27.44
hobart,-42.88,147.33,5.48,87,20,3.1,6.11
saldanha,-33.01,17.94,13.0,82,25,1.0,13.0
lorengau,-2.02,147.27,28.07,78,95,4.49,28.07
husavik,66.04,-17.34,3.0,51,75,22.1,3.0
kapaa,22.08,-159.32,23.95,88,20,4.6,24.0
tiksi,71.69,128.87,-15.6,91,42,1.37,-15.6
sisimiut,66.94,-53.67,-9.16,85,84,2.68,-9.16
malinovoye ozero,51.68,79.78,6.13,72,32,2.91,6.13
hermanus,-34.42,19.23,12.58,70,16,2.24,13.33
new norfolk,-42.78,147.06,5.59,87,20,3.1,6.67
mataura,-46.19,168.86,11.11,96,99,0.89,11.11
port alfred,-33.59,26.89,16.23,64,55,9.34,16.23
katsuura,35.13,140.3,9.51,46,49,4.6,10.0
tuatapere,-46.13,167.68,11.11,96,43,0.89,11.11
olafsvik,64.89,-23.71,0.33,91,100,14.78,0.33
cayenne,4.93,-52.33,29.0,70,75,6.2,29.0
methoni,36.82,21.7,11.35,57,90,3.6,11.67
sao felix do xingu,-6.64,-51.99,27.09,84,93,1.06,27.09
machiques,10.06,-72.55,33.85,48,100,3.91,33.85
ejura,7.39,-1.36,27.38,67,34,2.98,27.38
lodwar,3.12,35.6,30.51,39,47,9.04,30.51
grindavik,63.84,-22.43,1.0,50,75,19.0,1.0
touros,-5.2,-35.46,30.0,74,20,5.1,30.0
yamada,39.47,141.95,4.67,70,41,4.24,4.67
boguchany,58.38,97.45,-1.24,95,0,2.32,-1.24
coquimbo,-29.95,-71.34,20.0,68,11,5.1,20.0
souillac,-20.52,57.52,25.26,88,40,5.1,25.56
port lincoln,-34.73,135.87,15.71,79,2,3.72,15.71
carnarvon,-24.87,113.63,22.0,83,0,5.1,22.0
plettenberg bay,-34.05,23.37,13.3,72,66,5.76,13.3
hofn,64.25,-15.21,2.0,74,90,11.3,2.0
butaritari,3.07,172.79,28.16,71,100,0.79,28.16
ushuaia,-54.8,-68.3,11.0,62,75,8.2,11.0
hambantota,6.12,81.12,26.66,80,30,2.49,26.66
traralgon,-38.18,146.53,10.5,92,77,0.9,12.22
petropavlovsk-kamchatskiy,53.05,158.65,-4.0,68,99,1.0,-4.0
muros,42.78,-9.06,13.68,82,40,0.5,16.11
nizhniy kuranakh,58.84,125.49,-5.3,93,89,1.08,-5.3
torbay,47.67,-52.73,-0.36,80,90,11.3,0.56
tevaitoa,-16.78,-151.5,29.04,76,3,6.31,29.04
longyearbyen,78.22,15.64,-11.0,66,75,7.2,-11.0
nanortalik,60.14,-45.24,-2.05,87,0,12.41,-2.05
sitka,57.05,-135.33,4.31,69,90,8.7,6.0
geraldton,-28.77,114.6,16.31,88,1,3.6,17.0
saint stephen,50.33,-4.9,7.38,93,0,1.27,8.89
bluff,-46.6,168.33,11.11,96,82,0.89,11.11
vao,-22.67,167.48,24.81,81,100,8.65,24.81
terney,45.05,136.61,1.03,88,29,1.78,1.03
hasaki,35.73,140.83,2.9,80,75,0.5,4.0
myanaung,18.28,95.32,22.33,75,13,0.45,22.33
ventspils,57.39,21.56,4.0,64,18,6.4,4.0
saint pete beach,27.73,-82.74,27.43,57,20,6.2,29.0
guerrero negro,27.98,-114.06,18.66,52,100,5.82,18.66
cherskiy,68.75,161.3,-12.14,95,100,6.88,-12.14
ahipara,-35.17,173.17,17.31,75,41,3.37,17.31
silver city,32.77,-108.28,18.54,17,1,4.1,21.67
kamiiso,41.82,140.65,3.59,79,40,4.55,3.59
prince albert,53.2,-105.77,-4.0,92,90,5.7,-4.0
magadan,59.57,150.8,-8.6,94,70,2.0,-8.6
taremskoye,55.93,43.04,-2.11,58,40,5.0,-2.0
narsaq,60.92,-46.05,-2.0,33,0,4.6,-2.0
khromtau,50.25,58.43,-0.85,83,100,7.5,-0.85
la esperanza,14.87,-91.57,28.77,47,75,4.1,35.0
pisco,-13.7,-76.22,22.56,30,0,3.1,23.33
borogontsy,62.67,131.17,-8.76,95,99,2.31,-8.76
los llanos de aridane,28.66,-17.92,18.35,77,75,0.5,21.0
fort nelson,58.81,-122.7,0.0,79,75,1.0,0.0
kruisfontein,-34.0,24.73,12.58,67,90,9.25,12.58
nador,35.17,-2.93,15.08,82,75,1.5,16.0
paamiut,61.99,-49.67,-5.51,92,21,3.24,-5.51
isangel,-19.55,169.27,26.4,85,100,12.72,26.4
varhaug,58.61,5.65,7.5,93,90,3.6,8.33
fare,-16.7,-151.02,28.9,75,19,6.7,28.9
turbat,26.0,63.04,28.64,27,92,0.68,28.64
maniitsoq,65.42,-52.9,-6.41,86,89,2.45,-6.41
cape town,-33.93,18.42,12.17,58,20,2.1,13.0
lianran,24.92,102.48,10.69,100,90,5.0,12.22
nayoro,44.35,142.46,1.38,86,100,3.86,1.38
port hardy,50.7,-127.42,8.0,70,75,4.6,8.0
lavrentiya,65.58,-171.0,-15.64,85,98,1.85,-15.64
ulaangom,49.98,92.07,-4.62,83,100,0.51,-4.62
bambous virieux,-20.34,57.76,25.27,88,40,5.1,25.56
nemuro,43.32,145.57,1.55,87,4,4.53,1.55
birao,10.28,22.79,28.85,12,0,1.96,28.85
lingao,19.91,109.69,21.07,90,100,6.63,21.07
gat,31.61,34.76,14.98,77,40,1.5,17.22
odweyne,9.41,45.06,25.39,35,0,2.85,25.39
